product,title,rev_date,post_date,pdf_url
Publication 5655,Statistics of Income - Corporate Income Tax Returns,Sep 2025,09/30/2025,https://www.irs.gov/pub/irs-pdf/p5655.pdf
Publication 5658,Expanded IRS voice bot options help taxpayers set up or modify a payment plan,Jul 2022,07/19/2022,https://www.irs.gov/pub/irs-pdf/p5658.pdf
Publication 5666,Not required to File a tax return?,Jul 2022,08/25/2022,https://www.irs.gov/pub/irs-pdf/p5666.pdf
Publication 5679,Procrastinating on your taxes because you're missing documents?,Aug 2022,08/23/2022,https://www.irs.gov/pub/irs-pdf/p5679.pdf
Publication 5681,The General Records Schedules,Mar 2025,03/05/2025,https://www.irs.gov/pub/irs-pdf/p5681.pdf
Publication 5682,Records Control Schedules,Jun 2025,07/10/2025,https://www.irs.gov/pub/irs-pdf/p5682.pdf
Publication 5683,VITA/TCE Handbook for Partners and Site Coordinators,Oct 2025,10/23/2025,https://www.irs.gov/pub/irs-pdf/p5683.pdf
Form 5695,Residential Energy Credits,2025,11/21/2025,https://www.irs.gov/pub/irs-pdf/f5695.pdf
Instruction 5695,"Instructions for Form 5695, Residential Energy Credits",2025,01/29/2026,https://www.irs.gov/pub/irs-pdf/i5695.pdf
Publication 5697,IRS provides automatic penalty relief to most people and businesses who file certain 2019 and 2020 returns late,Sep 2022,10/11/2022,https://www.irs.gov/pub/irs-pdf/p5697.pdf
Publication 5708,Creating a Written Information Security Plan for your Tax & Accounting Practice,Aug 2024,09/03/2024,https://www.irs.gov/pub/irs-pdf/p5708.pdf
Publication 5709,How to Create a Written Information Security Plan for Data Safety,May 2024,05/20/2024,https://www.irs.gov/pub/irs-pdf/p5709.pdf
Publication 5710,Exempt Organizations Technical Guide TG 6 IRC 501(c)(6) Business Leagues,Feb 2024,02/05/2024,https://www.irs.gov/pub/irs-pdf/p5710.pdf
Publication 5712,Capitalization of Tangible Property Audit Technique Guide,Sep 2022,10/04/2022,https://www.irs.gov/pub/irs-pdf/p5712.pdf
Form 5713,International Boycott Report,Dec 2010,07/17/2012,https://www.irs.gov/pub/irs-pdf/f5713.pdf
Instruction 5713,"Instructions for Form 5713, International Boycott Report",Sep 2018,09/17/2018,https://www.irs.gov/pub/irs-pdf/i5713.pdf
Publication 5713,Due Diligence Interviews -- Steps to Success,Feb 2025,02/07/2025,https://www.irs.gov/pub/irs-pdf/p5713.pdf
Form 5713 (Schedule A),International Boycott Factor (Section 999(c)(1)),Dec 2010,07/17/2012,https://www.irs.gov/pub/irs-pdf/f5713sa.pdf
Form 5713 (Schedule B),Specifically Attributable Taxes and Income (Section 999(c)(2)),Sep 2018,09/04/2018,https://www.irs.gov/pub/irs-pdf/f5713sb.pdf
Form 5713 (Schedule C),Tax Effect of the International Boycott Provisions,Sep 2018,09/04/2018,https://www.irs.gov/pub/irs-pdf/f5713sc.pdf
Publication 5717,Information Returns Intake System (IRIS) Taxpayer Portal User Guide,Feb 2026,02/11/2026,https://www.irs.gov/pub/irs-pdf/p5717.pdf
Publication 5718,Information Returns Intake System (IRIS) Electronic Filing Application to Application (A2A) Specifications,Jan 2026,02/04/2026,https://www.irs.gov/pub/irs-pdf/p5718.pdf
Publication 5719,Information Returns Intake System (IRIS) Test Package for Information Returns,Aug 2025,09/05/2025,https://www.irs.gov/pub/irs-pdf/p5719.pdf
Publication 5724,Credit for Used Clean Vehicles,Aug 2023,02/29/2024,https://www.irs.gov/pub/irs-pdf/p5724.pdf
Publication 5724-A,Credit for Clean Vehicles,Aug 2023,08/02/2023,https://www.irs.gov/pub/irs-pdf/p5724a.pdf
Publication 5724-B,Credit for Commercial Clean Vehicles,Feb 2023,03/20/2023,https://www.irs.gov/pub/irs-pdf/p5724b.pdf
Publication 5724-D,Credit for Previously Owned Clean Vehicles,Mar 2023,03/30/2023,https://www.irs.gov/pub/irs-pdf/p5724d.pdf
Publication 5724-E,Credit for Clean Vehicles,Mar 2023,03/20/2023,https://www.irs.gov/pub/irs-pdf/p5724e.pdf
Publication 5724-F,Credit for Commercial Clean Vehicles,May 2023,06/08/2023,https://www.irs.gov/pub/irs-pdf/p5724f.pdf
Publication 5724-G,Clean Vehicle Credit Reference Chart,Apr 2023,05/05/2023,https://www.irs.gov/pub/irs-pdf/p5724g.pdf
Publication 5724-H,Commercial Clean Vehicle Reference Chart,Apr 2023,05/04/2023,https://www.irs.gov/pub/irs-pdf/p5724h.pdf
Publication 5724-I,Clean Vehicle Credits Toolkit,Jun 2023,06/08/2023,https://www.irs.gov/pub/irs-pdf/p5724i.pdf
Publication 5726,Individual Taxpayer Identification Number Acceptance Agents Training,Nov 2022,03/26/2025,https://www.irs.gov/pub/irs-pdf/p5726-2025-03-00.pdf
Publication 5727,Exempt Organizations Technical Guide TG 17 Supplemental Unemployment Benefit Trusts,Feb 2024,02/15/2024,https://www.irs.gov/pub/irs-pdf/p5727.pdf
Publication 5728,Leadership Development And Support Office Outreach,Jan 2024,02/26/2024,https://www.irs.gov/pub/irs-pdf/p5728.pdf
Publication 5729,Exempt Organizations Technical Guide TG 0 Technical Guide Overview,Dec 2023,12/15/2023,https://www.irs.gov/pub/irs-pdf/p5729.pdf
Publication 5730,Exempt Organizations Technical Guide TG 3-4: Exempt Purposes - Scientific - IRC Section  501(c)(3),Feb 2024,02/01/2024,https://www.irs.gov/pub/irs-pdf/p5730.pdf
Publication 5731,Start e-filing Forms 1099 with the Information Returns Intake System,Dec 2022,01/11/2023,https://www.irs.gov/pub/irs-pdf/p5731.pdf
Publication 5731-B,Are you making money selling things or providing a service?,Nov 2025,11/24/2025,https://www.irs.gov/pub/irs-pdf/p5731b.pdf
Form 5735,American Samoa Economic Development Credit,Jan 2013,01/17/2013,https://www.irs.gov/pub/irs-pdf/f5735.pdf
Instruction 5735,"Instructions for Form 5735, American Samoa Economic Development Credit",Jan 2013,01/23/2013,https://www.irs.gov/pub/irs-pdf/i5735.pdf
Publication 5735,Federal Employee/Retiree Delinquency Initiative (FERDI),Jan 2026,01/27/2026,https://www.irs.gov/pub/irs-pdf/p5735.pdf
Publication 5743,Taxpayer Compliance Burden,Apr 2023,04/27/2023,https://www.irs.gov/pub/irs-pdf/p5743.pdf
Publication 5744,"Estate Tax Returns, Year of Death 2019",Feb 2023,02/16/2023,https://www.irs.gov/pub/irs-pdf/p5744.pdf
Form 5754,Statement by Person(s) Receiving Gambling Winnings,Nov 2024,11/05/2024,https://www.irs.gov/pub/irs-pdf/f5754.pdf
Form 5768,Election/Revocation of Election By an Eligible Section 501(c)(3) Organization to Make Expenditures To Influence Legislation,Sep 2016,08/29/2016,https://www.irs.gov/pub/irs-pdf/f5768.pdf
Publication 5774,Entertainment Audit Technique Guide,Mar 2023,03/21/2023,https://www.irs.gov/pub/irs-pdf/p5774.pdf
Publication 5776,Free Tax Return Preparation and Filing,Mar 2023,03/13/2023,https://www.irs.gov/pub/irs-pdf/p5776.pdf
Publication 5780,"Exempt Organizations Technical Guide TG 1 Instrumentalities of the United States, Government Corporations, and Federal Credit Unions - IRC 501(c)(1)",Feb 2024,02/05/2024,https://www.irs.gov/pub/irs-pdf/p5780.pdf
Publication 5781,"Exempt Organizations Technical Guide TG 3-3 Exempt Purpose, Charitable IRC 501(c)(3)",Feb 2024,02/06/2024,https://www.irs.gov/pub/irs-pdf/p5781.pdf
Publication 5783,The Underpayment Tax Gap for Tax Years 2014-2016,Oct 2022,03/21/2023,https://www.irs.gov/pub/irs-pdf/p5783.pdf
Publication 5784,Estimation of the Underreporting Tax Gap for Tax Years 2014Â2016:  Methodology,Oct 2022,03/21/2023,https://www.irs.gov/pub/irs-pdf/p5784.pdf
Publication 5785,The Individual Income Tax and Self-Employment Tax Nonfiling Tax Gaps for Tax Years 2014-2016,Oct 2022,03/21/2023,https://www.irs.gov/pub/irs-pdf/p5785.pdf
Publication 5786,The Net Tax Gap for Tax Years 2014-2016,Oct 2022,03/21/2023,https://www.irs.gov/pub/irs-pdf/p5786.pdf
